
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. Top, 673, 721, 320, 0, 0, 1, 0, 8, 159
.	. ADC_AD7663AS, 189, 261, 108, 0, 0, 1, 0, 1, 0
.	.	. CLOCK_DIV_1_2_1, 17, 10, 32, 0, 0, 0, 0, 1, 0
.	.	. CLOCK_DIV_5_2, 17, 10, 32, 0, 0, 0, 0, 0, 0
.	.	. DP_RAM_2R_1W_16s_10s, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	. AdderDecode, 6, 134, 0, 0, 0, 0, 0, 0, 0
.	. ClkGen, 105, 50, 164, 0, 0, 0, 0, 2, 0
.	.	. CLOCK_DIV_1_2, 17, 5, 29, 0, 0, 0, 0, 1, 0
.	.	. CLOCK_DIV_2, 17, 5, 29, 0, 0, 0, 0, 0, 0
.	.	. CLOCK_DIV_4, 17, 9, 16, 0, 0, 0, 0, 1, 0
.	.	. CLOCK_DIV_5, 17, 5, 31, 0, 0, 0, 0, 0, 0
.	.	. CLOCK_DIV_5_0, 17, 5, 30, 0, 0, 0, 0, 0, 0
.	.	. CLOCK_DIV_5_1, 17, 5, 29, 0, 0, 0, 0, 0, 0
.	. DAC_AD8803AR, 95, 67, 32, 0, 0, 0, 0, 1, 0
.	.	. CLOCK_DIV_1_2_0, 17, 10, 32, 0, 0, 0, 0, 1, 0
.	. FPGA_WDI, 5, 5, 0, 0, 0, 0, 0, 0, 0
.	. GPIO, 67, 65, 0, 0, 0, 0, 0, 0, 0
.	. Gantry_Motor, 16, 21, 0, 0, 0, 0, 0, 1, 0
.	. Lift_Motor, 16, 21, 0, 0, 0, 0, 0, 1, 0
.	. OSCILLATOR_COUNTER, 51, 29, 16, 0, 0, 0, 0, 0, 0
.	.	. TIMER_COUNTER, 16, 1, 16, 0, 0, 0, 0, 0, 0
.	. PCI_EMU_TARGET, 75, 49, 0, 0, 0, 0, 0, 0, 0
.	. SCRATCH_PAD_REGISTER, 48, 17, 0, 0, 0, 0, 0, 0, 0
