Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM (64x12),LSRAM (20K),Chip Globals
Primitives/Primitives,2,0,0,0,148,0,0,3
adc_0/ADC_FIFO/Primitives,272,88,0,0,0,0,0,0
adc_0/ADC_FIFO/mem_mem_0_0/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_0_1/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_10_0/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_10_1/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_11_0/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_11_1/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_12_0/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_12_1/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_13_0/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_13_1/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_14_0/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_14_1/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_15_0/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_15_1/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_1_0/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_1_1/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_2_0/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_2_1/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_3_0/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_3_1/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_4_0/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_4_1/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_5_0/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_5_1/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_6_0/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_6_1/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_7_0/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_7_1/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_8_0/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_8_1/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_9_0/Primitives,0,0,12,12,0,1,0,0
adc_0/ADC_FIFO/mem_mem_9_1/Primitives,0,0,12,12,0,1,0,0
adc_0/Primitives,275,186,0,0,0,0,0,0
adc_0/adc_uart_inst/Primitives,35,29,0,0,0,0,0,0
adc_0/aqclkdiv/Primitives,43,17,0,0,0,0,0,0
adc_0/data_in_ram/Primitives,0,0,36,36,0,0,1,0
adc_0/sclk/Primitives,43,17,0,0,0,0,0,1
adder_decode_0/Primitives,388,16,0,0,0,0,0,0
clk_gen_0/Primitives,64,80,0,0,0,0,0,0
clk_gen_0/pulse20khz_div/Primitives,43,17,0,0,0,0,0,0
clk_gen_0/pulse2khz_div/Primitives,43,17,0,0,0,0,0,1
clk_gen_0/wdclk_div/Primitives,43,17,0,0,0,0,0,1
clkgen_2khz/Primitives,22,17,0,0,0,0,0,0
cmd_server_0/cmn_uart_inst/Primitives,69,50,0,0,0,0,0,0
cmd_server_0/msg_buffer_inst/Primitives,1,1,0,0,0,0,0,0
cmd_server_0/msg_buffer_inst/rx_fifo_inst/Primitives,29,40,0,0,0,0,0,0
cmd_server_0/msg_buffer_inst/rx_fifo_inst/mem_mem_0_0/Primitives,0,0,12,12,0,1,0,0
cmd_server_0/msg_buffer_inst/tx_fifo_inst/Primitives,21,40,0,0,0,0,0,0
cmd_server_0/msg_buffer_inst/tx_fifo_inst/mem_mem_0_0/Primitives,0,0,12,12,0,1,0,0
cmd_server_0/opb_emu_target_inst/Primitives,27,9,0,0,0,0,0,0
cmd_server_0/opb_emu_target_inst/clkgen_1hz/Primitives,23,17,0,0,0,0,0,0
cmd_server_0/opb_emu_target_inst/msg_read_inst/Primitives,132,99,0,0,0,0,0,0
cmd_server_0/opb_emu_target_inst/msg_write_inst/Primitives,373,94,0,0,0,0,0,0
dac_0/Primitives,63,57,0,0,0,0,0,0
dac_0/data_in_ram/ram_ram_0_0/Primitives,0,0,12,12,0,1,0,0
