
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. top, 4904, 3820, 2368, 0, 0, 1, 6, 15, 148
.	. ADC_ADS8864_IF, 182, 197, 106, 0, 0, 1, 0, 1, 0
.	.	. CLOCK_DIV_2_0, 17, 9, 32, 0, 0, 0, 0, 0, 0
.	.	. CLOCK_DIV_4, 17, 10, 32, 0, 0, 0, 0, 1, 0
.	.	. DP_RAM_2R_1W_16s_10s, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	. AdderDecode, 16, 295, 0, 0, 0, 0, 0, 0, 0
.	. CLOCK_DIV_11_7, 17, 6, 16, 0, 0, 0, 0, 0, 0
.	. ClkGen, 131, 91, 96, 0, 0, 0, 0, 2, 0
.	.	. CLOCK_DIV, 17, 10, 32, 0, 0, 0, 0, 1, 0
.	.	. CLOCK_DIV_2, 17, 10, 32, 0, 0, 0, 0, 0, 0
.	.	. CLOCK_DIV_3, 17, 10, 32, 0, 0, 0, 0, 1, 0
.	. DAC_DACx0504_IF, 114, 108, 16, 0, 0, 0, 4, 1, 0
.	.	. CLOCK_DIV_9, 17, 8, 16, 0, 0, 0, 0, 1, 0
.	.	. DP_RAM_2R_1W_24s_4s, 0, 0, 0, 0, 0, 0, 2, 0, 0
.	.	. afifo_24s_4s_24s_4s, 40, 36, 0, 0, 0, 0, 2, 0, 0
.	. EEPROM_OPB_IF, 110, 94, 8, 0, 0, 0, 0, 0, 0
.	.	. serial_eeprom_if, 65, 86, 0, 0, 0, 0, 0, 0, 0
.	. FPGA_WDI, 5, 5, 0, 0, 0, 0, 0, 0, 0
.	. GPIO, 430, 313, 128, 0, 0, 0, 0, 0, 0
.	. MSSB_IF, 216, 146, 157, 0, 0, 0, 0, 0, 0
.	.	. work_cmn_uart_rtl_false_921600_100000000_1_BAUD_RATECLOCK_FREQUENCY_1, 47, 59, 0, 0, 0, 0, 0, 0, 0
.	. MSSB_IF_1, 216, 117, 157, 0, 0, 0, 0, 0, 0
.	.	. work_cmn_uart_rtl_false_921600_100000000_1_BAUD_RATECLOCK_FREQUENCY_1_0, 47, 54, 0, 0, 0, 0, 0, 0, 0
.	. OSCILLATOR_COUNTER, 75, 49, 17, 0, 0, 0, 0, 0, 0
.	.	. afifo_8s_2s_8s_2s, 24, 16, 0, 0, 0, 0, 0, 0, 0
.	. SCRATCH_PAD_REGISTER, 96, 37, 0, 0, 0, 0, 0, 0, 0
.	. cmd_server, 364, 645, 34, 0, 0, 0, 2, 0, 0
.	.	. msg_buffer, 81, 51, 0, 0, 0, 0, 2, 0, 0
.	.	.	. afifo_8s_4s_8s_4s_1, 40, 29, 0, 0, 0, 0, 1, 0, 0
.	.	.	. afifo_8s_4s_8s_4s_1_0, 40, 21, 0, 0, 0, 0, 1, 0, 0
.	.	. opb_emu_target, 233, 525, 34, 0, 0, 0, 0, 0, 0
.	.	.	. CLOCK_DIV_0, 17, 7, 16, 0, 0, 0, 0, 0, 0
