Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,uSRAM (64x12),LSRAM (20K),Chip Globals
Primitives/Primitives,2,1,0,0,182,0,0,3
addr_decode_0/Primitives,145,12,0,0,0,0,0,0
clkgen_2khz/Primitives,22,17,0,0,0,0,0,0
oscillator_counter_0/Primitives,43,51,0,0,0,0,0,0
oscillator_counter_0/opb_fifo_inst/Primitives,16,24,0,0,0,0,0,0
scratch_pad_register_0/Primitives,50,96,0,0,0,0,0,0
u_adc/Primitives,204,147,0,0,0,0,0,0
u_adc/aqclkdiv/Primitives,43,17,0,0,0,0,0,0
u_adc/data_in_ram/Primitives,0,0,36,36,0,0,1,0
u_adc/sclk/Primitives,43,17,0,0,0,0,0,1
u_app2hw_if/Primitives,0,14,0,0,0,0,0,0
u_can_if/CAN1_inst/Primitives,47,122,0,0,0,0,0,0
u_can_if/CAN1_inst/uut/MSC_i_36/MSC_i_55/MSC_i_56/Primitives,748,296,0,0,0,0,0,0
u_can_if/CAN1_inst/uut/MSC_i_36/MSC_i_55/Primitives,0,1,0,0,0,0,0,0
u_can_if/CAN1_inst/uut/MSC_i_36/MSC_i_57/Primitives,583,229,0,0,0,0,0,0
u_can_if/CAN1_inst/uut/MSC_i_36/MSC_i_58/Primitives,351,65,0,0,0,0,0,0
u_can_if/CAN1_inst/uut/MSC_i_36/MSC_i_59/Primitives,138,27,0,0,0,0,0,0
u_can_if/CAN1_inst/uut/MSC_i_36/MSC_i_60/Primitives,10,1,0,0,0,0,0,0
u_can_if/CAN1_inst/uut/MSC_i_36/MSC_i_61/MSC_i_62/Primitives,62,21,0,0,0,0,0,0
u_can_if/CAN1_inst/uut/MSC_i_36/MSC_i_61/MSC_i_63/Primitives,79,21,0,0,0,0,0,0
u_can_if/CAN1_inst/uut/MSC_i_36/MSC_i_61/MSC_i_64/Primitives,28,15,0,0,0,0,0,0
u_can_if/CAN1_inst/uut/MSC_i_36/MSC_i_61/Primitives,476,276,0,0,0,0,0,0
u_can_if/CAN1_inst/uut/MSC_i_36/MSC_i_65/MSC_i_66/Primitives,8,15,0,0,0,0,0,0
u_can_if/CAN1_inst/uut/MSC_i_36/MSC_i_65/Primitives,397,114,0,0,0,0,0,0
u_can_if/CAN1_inst/uut/MSC_i_36/MSC_i_68/MSC_i_69/Primitives,1,0,72,72,0,0,2,0
