
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. top_app, 2948, 2338, 1492, 0, 0, 1, 6, 6, 182
.	. ADC_ADS8864_IF, 181, 182, 106, 0, 0, 1, 0, 1, 0
.	.	. CLOCK_DIV_8, 17, 10, 32, 0, 0, 0, 0, 0, 0
.	.	. CLOCK_DIV_top_app_0, 17, 10, 32, 0, 0, 0, 0, 1, 0
.	.	. DP_RAM_2R_1W_16s_10s, 0, 0, 0, 0, 0, 1, 0, 0, 0
.	. ADDR_DECODE, 12, 145, 0, 0, 0, 0, 0, 0, 0
.	. APP2HW_IF, 14, 0, 0, 0, 0, 0, 0, 0, 0
.	. CAN_IF, 488, 188, 0, 0, 0, 0, 0, 0, 0
.	.	. CORECAN_wrapper, 122, 47, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CORECAN_C0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. CORECAN_wrapper_0, 122, 47, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CORECAN_C0_0, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. CORECAN_wrapper_1, 122, 47, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CORECAN_C0_1, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	.	. CORECAN_wrapper_2, 122, 47, 0, 0, 0, 0, 0, 0, 0
.	.	.	. CORECAN_C0_2, 0, 0, 0, 0, 0, 0, 0, 0, 0
.	. CLOCK_DIV_10, 17, 6, 16, 0, 0, 0, 0, 0, 0
.	. ClkGen, 97, 71, 32, 0, 0, 0, 0, 1, 0
.	.	. CLOCK_DIV_top_app, 17, 10, 32, 0, 0, 0, 0, 1, 0
.	. DAC_DACx0504_IF, 113, 115, 16, 0, 0, 0, 4, 1, 0
.	.	. CLOCK_DIV_9, 17, 8, 16, 0, 0, 0, 0, 1, 0
.	.	. DP_RAM_2R_1W_24s_4s, 0, 0, 0, 0, 0, 0, 2, 0, 0
.	.	. afifo_24s_4s_24s_4s, 40, 39, 0, 0, 0, 0, 2, 0, 0
.	. GPIO, 177, 87, 20, 0, 0, 0, 0, 0, 0
.	. OSCILLATOR_COUNTER, 75, 42, 17, 0, 0, 0, 0, 0, 0
.	.	. afifo_8s_2s_8s_2s, 24, 16, 0, 0, 0, 0, 0, 0, 0
.	. RS422_TEST_IF, 1329, 898, 1251, 0, 0, 0, 0, 0, 0
.	.	. work_cmn_uart_rtl_false_115200_100000000_1_BAUD_RATECLOCK_FREQUENCY_1, 29, 36, 0, 0, 0, 0, 0, 0, 0
.	.	. work_cmn_uart_rtl_false_115200_100000000_1_BAUD_RATECLOCK_FREQUENCY_RS422_TEST_IF, 32, 38, 0, 0, 0, 0, 0, 0, 0
.	.	. work_cmn_uart_rtl_false_115200_100000000_1_BAUD_RATECLOCK_FREQUENCY_RS422_TEST_IF_0, 32, 38, 0, 0, 0, 0, 0, 0, 0
.	.	. work_cmn_uart_rtl_false_115200_100000000_1_BAUD_RATECLOCK_FREQUENCY_RS422_TEST_IF_1, 32, 38, 0, 0, 0, 0, 0, 0, 0
.	.	. work_cmn_uart_rtl_false_115200_100000000_1_BAUD_RATECLOCK_FREQUENCY_RS422_TEST_IF_2, 32, 38, 0, 0, 0, 0, 0, 0, 0
.	.	. work_cmn_uart_rtl_false_115200_100000000_1_BAUD_RATECLOCK_FREQUENCY_RS422_TEST_IF_3, 32, 38, 0, 0, 0, 0, 0, 0, 0
.	.	. work_cmn_uart_rtl_false_115200_100000000_1_BAUD_RATECLOCK_FREQUENCY_RS422_TEST_IF_4, 32, 39, 0, 0, 0, 0, 0, 0, 0
.	.	. work_cmn_uart_rtl_false_115200_100000000_1_BAUD_RATECLOCK_FREQUENCY_RS422_TEST_IF_5, 32, 39, 0, 0, 0, 0, 0, 0, 0
.	.	. work_cmn_uart_rtl_false_115200_100000000_1_BAUD_RATECLOCK_FREQUENCY_RS422_TEST_IF_6, 32, 38, 0, 0, 0, 0, 0, 0, 0
.	.	. work_cmn_uart_rtl_false_115200_100000000_1_BAUD_RATECLOCK_FREQUENCY_RS422_TEST_IF_7, 32, 40, 0, 0, 0, 0, 0, 0, 0
.	. SCRATCH_PAD_REGISTER_65537_256_539298053, 96, 50, 0, 0, 0, 0, 0, 0, 0
.	. cmd_server, 348, 553, 34, 0, 0, 0, 2, 0, 0
.	.	. msg_buffer, 81, 55, 0, 0, 0, 0, 2, 0, 0
.	.	.	. afifo_8s_4s_8s_4s_1, 40, 30, 0, 0, 0, 0, 1, 0, 0
.	.	.	. afifo_8s_4s_8s_4s_1_0, 40, 24, 0, 0, 0, 0, 1, 0, 0
.	.	. opb_emu_target, 217, 429, 34, 0, 0, 0, 0, 0, 0
.	.	.	. CLOCK_DIV_0, 17, 7, 16, 0, 0, 0, 0, 0, 0
.	.	.	. msg_read, 97, 122, 9, 0, 0, 0, 0, 0, 0
.	.	.	. msg_write, 94, 277, 9, 0, 0, 0, 0, 0, 0
.	.	. work_cmn_uart_rtl_false_115200_100000000_1_BAUD_RATECLOCK_FREQUENCY_0, 50, 69, 0, 0, 0, 0, 0, 0, 0
