pin,slack
u_cmd_server/opb_emu_target_inst/msg_write_inst/tx_data_RNO[12]:A,7021
u_cmd_server/opb_emu_target_inst/msg_write_inst/tx_data_RNO[12]:B,5958
u_cmd_server/opb_emu_target_inst/msg_write_inst/tx_data_RNO[12]:C,3441
u_cmd_server/opb_emu_target_inst/msg_write_inst/tx_data_RNO[12]:D,2335
u_cmd_server/opb_emu_target_inst/msg_write_inst/tx_data_RNO[12]:Y,2335
u_cmd_server/opb_emu_target_inst/msg_write_inst/tx_data[20]:ALn,
u_cmd_server/opb_emu_target_inst/msg_write_inst/tx_data[20]:CLK,7328
u_cmd_server/opb_emu_target_inst/msg_write_inst/tx_data[20]:D,4759
u_cmd_server/opb_emu_target_inst/msg_write_inst/tx_data[20]:EN,6492
u_cmd_server/opb_emu_target_inst/msg_write_inst/tx_data[20]:Q,7328
oscillator_counter_1/OSC_CT_DO_4[6]:A,8248
oscillator_counter_1/OSC_CT_DO_4[6]:B,6376
oscillator_counter_1/OSC_CT_DO_4[6]:C,7703
oscillator_counter_1/OSC_CT_DO_4[6]:Y,6376
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.eeprom_addr_reg_8_iv_0[11]:A,7320
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.eeprom_addr_reg_8_iv_0[11]:B,7262
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.eeprom_addr_reg_8_iv_0[11]:C,7354
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.eeprom_addr_reg_8_iv_0[11]:D,7290
eeprom_0/eeprom_if_0/proc_EEPROM_CYCLE.eeprom_addr_reg_8_iv_0[11]:Y,7262
eeprom_0/EEP_DO_20_15[4]:A,5459
eeprom_0/EEP_DO_20_15[4]:B,3141
eeprom_0/EEP_DO_20_15[4]:C,3029
eeprom_0/EEP_DO_20_15[4]:Y,3029
eeprom_0/eeprom_page_wrdata6[27]:ALn,
eeprom_0/eeprom_page_wrdata6[27]:CLK,5574
