
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
. top_hw, 2496, 2577, 693, 0, 0, 0, 4, 7, 140
.	. ADDER_DECODE, 8, 174, 0, 0, 0, 0, 0, 0, 0
.	. APP_IF, 26, 2, 0, 0, 0, 0, 0, 0, 0
.	. CLOCK_DIV_7, 17, 8, 16, 0, 0, 0, 0, 1, 0
.	. CLOCK_DIV_8, 17, 7, 16, 0, 0, 0, 0, 1, 0
.	. ClkGen, 97, 74, 32, 0, 0, 0, 0, 1, 0
.	.	. CLOCK_DIV_4, 17, 10, 32, 0, 0, 0, 0, 1, 0
.	. EEPROM_OPB_IF_V2, 943, 854, 264, 0, 0, 0, 0, 0, 0
.	.	. serial_eeprom_if_v2, 601, 705, 0, 0, 0, 0, 0, 0, 0
.	. GPIO, 139, 49, 38, 0, 0, 0, 0, 0, 0
.	. OSCILLATOR_COUNTER_0, 75, 41, 17, 0, 0, 0, 0, 0, 0
.	.	. afifo_8s_2s_8s_2s_0, 24, 16, 0, 0, 0, 0, 0, 0, 0
.	. OSCILLATOR_COUNTER_1, 75, 41, 17, 0, 0, 0, 0, 0, 0
.	.	. afifo_8s_2s_8s_2s, 24, 16, 0, 0, 0, 0, 0, 0, 0
.	. PHY_IF, 648, 802, 259, 0, 0, 0, 2, 0, 0
.	.	. SERIAL_MII, 87, 67, 0, 0, 0, 0, 0, 0, 0
.	.	. afifo_32s_2s_32s_2s, 24, 28, 0, 0, 0, 0, 2, 0, 0
.	.	. ctrl_package_transceiver, 292, 187, 67, 0, 0, 0, 0, 0, 0
.	.	. phy_ctrl_rmii, 12, 0, 0, 0, 0, 0, 0, 0, 0
.	. SCRATCH_PAD_REGISTER_65537_80_539297840, 96, 54, 0, 0, 0, 0, 0, 0, 0
.	. cmd_server, 350, 464, 34, 0, 0, 0, 2, 0, 0
.	.	. msg_buffer, 81, 52, 0, 0, 0, 0, 2, 0, 0
.	.	.	. afifo_8s_4s_8s_4s_1, 40, 28, 0, 0, 0, 0, 1, 0, 0
.	.	.	. afifo_8s_4s_8s_4s_1_0, 40, 23, 0, 0, 0, 0, 1, 0, 0
.	.	. opb_emu_target, 219, 343, 34, 0, 0, 0, 0, 0, 0
.	.	.	. CLOCK_DIV_0, 17, 7, 16, 0, 0, 0, 0, 0, 0
.	.	.	. msg_read, 99, 122, 9, 0, 0, 0, 0, 0, 0
.	.	.	. msg_write, 94, 190, 9, 0, 0, 0, 0, 0, 0
.	.	. work_cmn_uart_rtl_false_115200_100000000_1_BAUD_RATECLOCK_FREQUENCY, 50, 69, 0, 0, 0, 0, 0, 0, 0
