SERNO,END_INSTANCE,END_CLOCK,START_CLOCK,START_INSTANCE,CDC_TYPE,SYNCHRONIZER,NUMBER_OF_SYNCHRONIZER_FFs,SAFE_CDC,DESCRIPTION
1,opb_wakeup,clk_100mhz,CLOCK_DIV_8|N_1_inferred_clock,seconds[3:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
2,phy_if_0.OPB_DO[31:0],clk_100mhz,CLOCK_DIV_7|N_1_inferred_clock,phy_if_0.smii_read_data_reg[24:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
3,phy_if_0.serial_mii_inst.SERIAL_MII_CYCLE_TYPE,CLOCK_DIV_7|N_1_inferred_clock,clk_100mhz,phy_if_0.opb_fifo_inst.mem[31:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
4,phy_if_0.serial_mii_inst.SERIAL_MII_PHY_ADDR[1:0],CLOCK_DIV_7|N_1_inferred_clock,clk_100mhz,phy_if_0.opb_fifo_inst.mem[31:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
5,phy_if_0.serial_mii_inst.SERIAL_MII_REG_ADDR[4:0],CLOCK_DIV_7|N_1_inferred_clock,clk_100mhz,phy_if_0.opb_fifo_inst.mem[31:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
6,phy_if_0.serial_mii_inst.SERIAL_MII_SHIFT[31:0],CLOCK_DIV_7|N_1_inferred_clock,clk_100mhz,phy_if_0.opb_fifo_inst.mem[31:0],Different Clock Domains,YES,NA,Not Analyzed,Potential RAM synchronizer detected.
7,phy_if_0.opb_fifo_inst.wq1_rgray[2:0],clk_100mhz,CLOCK_DIV_7|N_1_inferred_clock,phy_if_0.opb_fifo_inst.rbin[2:0],Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
8,phy_if_0.opb_fifo_inst.rq1_wgray[2:0],CLOCK_DIV_7|N_1_inferred_clock,clk_100mhz,phy_if_0.opb_fifo_inst.wbin[2:0],Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
9,oscillator_counter_1.resetb,clk_100mhz,top_hw|HDW_DBUG_MISO,oscillator_counter_1.cntr_trig,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
10,oscillator_counter_1.startb,clk_100mhz,top_hw|HDW_DBUG_MISO,oscillator_counter_1.cntr_trig,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
11,oscillator_counter_1.count_data[15:0],clk_50mhz,top_hw|HDW_DBUG_MISO,oscillator_counter_1.cntr_trig,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin.
12,oscillator_counter_1.opb_fifo_inst.wq1_rgray[2:0],clk_100mhz,top_hw|HDW_DBUG_MISO,oscillator_counter_1.opb_fifo_inst.rbin[2:0],Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
13,oscillator_counter_1.opb_fifo_inst.rq1_wgray[2:0],top_hw|HDW_DBUG_MISO,clk_100mhz,oscillator_counter_1.opb_fifo_inst.wbin[2:0],Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
14,oscillator_counter_0.resetb,clk_100mhz,top_hw|HDW_DBUG_MISO,oscillator_counter_0.cntr_trig,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
15,oscillator_counter_0.startb,clk_100mhz,top_hw|HDW_DBUG_MISO,oscillator_counter_0.cntr_trig,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
16,oscillator_counter_0.count_data[15:0],clk_100mhz,top_hw|HDW_DBUG_MISO,oscillator_counter_0.cntr_trig,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
17,oscillator_counter_0.opb_fifo_inst.wq1_rgray[2:0],clk_100mhz,top_hw|HDW_DBUG_MISO,oscillator_counter_0.opb_fifo_inst.rbin[2:0],Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
18,oscillator_counter_0.opb_fifo_inst.rq1_wgray[2:0],top_hw|HDW_DBUG_MISO,clk_100mhz,oscillator_counter_0.opb_fifo_inst.wbin[2:0],Different Clock Domains,YES,2,NO,Divergence detected in the crossover path.
19,u_cmd_server.opb_emu_target_inst.pulse_1hz_r,clk_100mhz,CLOCK_DIV_4|clkout_inferred_clock,u_cmd_server.opb_emu_target_inst.clkgen_1hz.clkout,Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
20,u_cmd_server.opb_emu_target_inst.state[2:0],clk_100mhz,CLOCK_DIV_4|clkout_inferred_clock,u_cmd_server.opb_emu_target_inst.clkgen_1hz.clkout,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
21,u_cmd_server.opb_emu_target_inst.clkgen_1hz.clkout,CLOCK_DIV_4|clkout_inferred_clock,clk_100mhz,u_cmd_server.opb_emu_target_inst.clkgen_1hz.clkout,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
22,u_cmd_server.opb_emu_target_inst.clkgen_1hz.clkout,clk_100mhz,CLOCK_DIV_4|clkout_inferred_clock,u_cmd_server.opb_emu_target_inst.clkgen_1hz.clkout,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Enable signal for synchonizer registers does not have a safe crossing.
23,u_cmd_server.opb_emu_target_inst.clkgen_1hz.cntr[15:0],CLOCK_DIV_4|clkout_inferred_clock,clk_100mhz,u_cmd_server.opb_emu_target_inst.clkgen_1hz.cntr[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
24,u_cmd_server.opb_emu_target_inst.clkgen_1hz.cntr[15:0],clk_100mhz,CLOCK_DIV_4|clkout_inferred_clock,u_cmd_server.opb_emu_target_inst.clkgen_1hz.cntr[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
25,u_cmd_server.opb_emu_target_inst.msg_write_inst.timeout_cnt[7:0],CLOCK_DIV_4|clkout_inferred_clock,clk_100mhz,u_cmd_server.opb_emu_target_inst.msg_write_inst.timeout_cnt[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
26,u_cmd_server.opb_emu_target_inst.msg_write_inst.timeout_cnt[7:0],clk_100mhz,CLOCK_DIV_4|clkout_inferred_clock,u_cmd_server.opb_emu_target_inst.msg_write_inst.timeout_cnt[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
27,u_cmd_server.opb_emu_target_inst.msg_write_inst.state[6:0],clk_100mhz,CLOCK_DIV_4|clkout_inferred_clock,u_cmd_server.opb_emu_target_inst.msg_write_inst.timeout_cnt[7:0],Different Clock Domains,NO,0,NO,Divergence detected in the crossover path.
28,u_cmd_server.opb_emu_target_inst.msg_read_inst.timeout_cnt[7:0],CLOCK_DIV_4|clkout_inferred_clock,clk_100mhz,u_cmd_server.opb_emu_target_inst.msg_read_inst.timeout_cnt[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
29,u_cmd_server.opb_emu_target_inst.msg_read_inst.timeout_cnt[7:0],clk_100mhz,CLOCK_DIV_4|clkout_inferred_clock,u_cmd_server.opb_emu_target_inst.msg_read_inst.timeout_cnt[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
30,u_cmd_server.opb_emu_target_inst.msg_read_inst.state[2:0],clk_100mhz,CLOCK_DIV_4|clkout_inferred_clock,u_cmd_server.opb_emu_target_inst.msg_read_inst.timeout_cnt[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Divergence detected in the crossover path.
31,u_cmd_server.opb_emu_target_inst.msg_read_inst.OPB_RE,clk_100mhz,CLOCK_DIV_4|clkout_inferred_clock,u_cmd_server.opb_emu_target_inst.msg_read_inst.timeout_cnt[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
32,u_cmd_server.opb_emu_target_inst.msg_read_inst.OPB_WE,clk_100mhz,CLOCK_DIV_4|clkout_inferred_clock,u_cmd_server.opb_emu_target_inst.msg_read_inst.timeout_cnt[7:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
33,clkgen_2khz.clkout,CLOCK_DIV_4|clkout_inferred_clock,clk_100mhz,clkgen_2khz.clkout,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
34,clkgen_2khz.clkout,clk_100mhz,CLOCK_DIV_4|clkout_inferred_clock,clkgen_2khz.clkout,Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing. Sources from different domains in fanin. Enable signal for synchonizer registers does not have a safe crossing.
35,clkgen_2khz.cntr[15:0],CLOCK_DIV_4|clkout_inferred_clock,clk_100mhz,clkgen_2khz.cntr[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
36,clkgen_2khz.cntr[15:0],clk_100mhz,CLOCK_DIV_4|clkout_inferred_clock,clkgen_2khz.cntr[15:0],Different Clock Domains,NO,0,NO,Combinatorial logic detected at clock domain crossing.
